 PageNo, Speed, Length, RealPower, SetFrequency, SetDuty, SetPower, GateOnTime, WorkingTime
1,250,241.1,1662,1000,100,82,1154, 2022-02-10 09:02:48.515
2,250,241.2,1688,1000,100,83,1670, 2022-02-10 09:02:51.894
3,250,241.1,1669,1000,100,82,1153, 2022-02-10 09:02:54.740
4,250,241.2,1693,1000,100,83,1670, 2022-02-10 09:02:57.948
5,250,241.1,1673,1000,100,82,1154, 2022-02-10 09:03:00.734
6,250,241.2,1697,1000,100,83,1670, 2022-02-10 09:03:03.988
7,250,241.1,1671,1000,100,82,1153, 2022-02-10 09:03:09.712
8,250,241.2,1697,1000,100,83,1670, 2022-02-10 09:03:13.026
9,250,241.1,1675,1000,100,82,1154, 2022-02-10 09:03:15.836
10,250,241.2,1699,1000,100,83,1670, 2022-02-10 09:03:19.088
11,250,241.1,1678,1000,100,82,1154, 2022-02-10 09:03:21.914
12,250,241.2,1700,1000,100,83,1670, 2022-02-10 09:03:25.296
13,30,19.4,682,1000,100,38,650, 2022-02-10 09:03:29.824
14,30,19.4,682,1000,100,38,650, 2022-02-10 09:03:31.546
15,30,19.4,682,1000,100,38,650, 2022-02-10 09:03:34.496
16,30,19.4,682,1000,100,38,650, 2022-02-10 09:03:37.870
17,30,19.4,682,1000,100,38,650, 2022-02-10 09:03:39.556
18,30,19.4,682,1000,100,38,650, 2022-02-10 09:03:41.236
19,250,241.1,1692,1000,100,83,1670, 2022-02-10 09:04:01.620
20,250,241.2,1674,1000,100,82,1154, 2022-02-10 09:04:04.234
21,250,241.1,1698,1000,100,83,1670, 2022-02-10 09:04:07.666
22,250,241.2,1678,1000,100,82,1154, 2022-02-10 09:04:10.360
23,250,241.1,1700,1000,100,83,1670, 2022-02-10 09:04:13.816
24,250,241.2,1679,1000,100,82,1154, 2022-02-10 09:04:16.500
25,250,241.1,1698,1000,100,83,1670, 2022-02-10 09:04:22.950
26,250,241.2,1679,1000,100,82,1154, 2022-02-10 09:04:25.574
27,250,241.1,1702,1000,100,83,1670, 2022-02-10 09:04:28.998
28,250,241.2,1682,1000,100,82,1154, 2022-02-10 09:04:31.786
29,250,241.1,1703,1000,100,83,1670, 2022-02-10 09:04:35.350
30,250,241.2,1683,1000,100,82,1154, 2022-02-10 09:04:37.964
31,30,19.4,683,1000,100,38,650, 2022-02-10 09:04:42.402
32,30,19.4,682,1000,100,38,650, 2022-02-10 09:04:43.918
33,30,19.4,683,1000,100,38,650, 2022-02-10 09:04:47.018
34,30,19.4,682,1000,100,38,650, 2022-02-10 09:04:48.782
35,30,19.4,683,1000,100,38,650, 2022-02-10 09:04:52.306
36,30,19.4,682,1000,100,38,650, 2022-02-10 09:04:54.036
37,30,19.4,682,1000,100,38,650, 2022-02-10 09:04:55.736
38,30,19.4,683,1000,100,38,650, 2022-02-10 09:04:58.726
39,30,19.4,682,1000,100,38,650, 2022-02-10 09:05:00.222
1,250,241.1,1666,1000,100,82,1154, 2022-02-10 09:05:48.104
2,250,241.2,1693,1000,100,83,1670, 2022-02-10 09:05:51.492
3,250,241.1,1674,1000,100,82,1153, 2022-02-10 09:05:54.318
4,250,241.2,1698,1000,100,83,1670, 2022-02-10 09:05:57.572
5,250,241.1,1678,1000,100,82,1154, 2022-02-10 09:06:00.304
6,250,241.2,1700,1000,100,83,1670, 2022-02-10 09:06:03.566
7,250,241.1,1675,1000,100,82,1153, 2022-02-10 09:06:09.280
8,250,241.2,1700,1000,100,83,1670, 2022-02-10 09:06:12.474
9,250,241.1,1679,1000,100,82,1154, 2022-02-10 09:06:15.250
10,250,241.2,1703,1000,100,83,1670, 2022-02-10 09:06:18.466
11,250,241.1,1680,1000,100,82,1154, 2022-02-10 09:06:21.336
12,250,241.2,1704,1000,100,83,1670, 2022-02-10 09:06:24.598
13,30,19.4,683,1000,100,38,650, 2022-02-10 09:06:29.152
14,30,19.4,683,1000,100,38,650, 2022-02-10 09:06:30.874
15,30,19.4,683,1000,100,38,650, 2022-02-10 09:06:33.762
16,30,19.4,683,1000,100,38,650, 2022-02-10 09:06:37.112
17,30,19.4,683,1000,100,38,650, 2022-02-10 09:06:38.874
18,30,19.4,682,1000,100,38,650, 2022-02-10 09:06:40.650
19,250,241.1,1693,1000,100,83,1670, 2022-02-10 09:07:01.542
20,250,241.2,1675,1000,100,82,1154, 2022-02-10 09:07:04.262
21,250,241.1,1699,1000,100,83,1670, 2022-02-10 09:07:07.656
22,250,241.2,1679,1000,100,82,1154, 2022-02-10 09:07:10.234
23,250,241.1,1702,1000,100,83,1670, 2022-02-10 09:07:13.702
24,250,241.2,1680,1000,100,82,1154, 2022-02-10 09:07:16.348
25,250,241.1,1699,1000,100,83,1670, 2022-02-10 09:07:22.770
26,250,241.2,1680,1000,100,82,1154, 2022-02-10 09:07:25.364
27,250,241.1,1703,1000,100,83,1670, 2022-02-10 09:07:28.782
28,250,241.2,1683,1000,100,82,1154, 2022-02-10 09:07:31.452
29,250,241.1,1704,1000,100,83,1670, 2022-02-10 09:07:34.956
30,250,241.2,1684,1000,100,82,1154, 2022-02-10 09:07:37.642
31,30,19.4,683,1000,100,38,650, 2022-02-10 09:07:42.096
32,30,19.4,683,1000,100,38,650, 2022-02-10 09:07:43.728
33,30,19.4,683,1000,100,38,650, 2022-02-10 09:07:46.804
34,30,19.4,683,1000,100,38,650, 2022-02-10 09:07:48.574
35,30,19.4,683,1000,100,38,650, 2022-02-10 09:07:52.008
36,30,19.4,683,1000,100,38,650, 2022-02-10 09:07:53.694
37,30,19.4,683,1000,100,38,650, 2022-02-10 09:07:55.452
38,30,19.4,683,1000,100,38,650, 2022-02-10 09:07:58.448
