 PageNo, Speed, Length, RealPower, SetFrequency, SetDuty, SetPower, GateOnTime, WorkingTime
1,250,241.1,1800,1000,100,82,1154, 2022-01-08 10:11:45.181
2,250,241.2,1850,1000,100,83,1670, 2022-01-08 10:11:48.487
3,250,241.1,1900,1000,100,82,1153, 2022-01-08 10:11:51.245
4,250,241.2,1900,1000,100,83,1670, 2022-01-08 10:11:54.493
5,250,241.1,1600,1000,100,82,1154, 2022-01-08 10:11:57.269
6,250,241.2,1695,1000,100,83,1670, 2022-01-08 10:12:00.659
7,250,241.1,1758,1000,100,82,1153, 2022-01-08 10:12:06.660
8,250,241.2,1555,1000,100,83,1670, 2022-01-08 10:12:09.910
9,250,241.1,1387,1000,100,82,1154, 2022-01-08 10:12:12.674
10,250,241.2,1964,1000,100,83,1670, 2022-01-08 10:12:15.900
11,250,241.1,1724,1000,100,82,1154, 2022-01-08 10:12:18.684
12,250,241.2,500,1000,100,83,1670, 2022-01-08 10:12:22.008
13,30,19.4,582,1000,100,38,650, 2022-01-08 10:12:26.774
14,30,19.4,690,1000,100,35,650, 2022-01-08 10:12:28.506
15,30,19.4,677,1000,100,38,650, 2022-01-08 10:12:31.410
16,30,19.4,800,1000,100,38,650, 2022-01-08 10:12:34.702
17,30,19.4,900,1000,100,38,650, 2022-01-08 10:12:36.378
18,30,19.4,1655,1000,100,38,650, 2022-01-08 10:12:38.084
19,250,241.1,1680,1000,100,83,1670, 2022-01-08 10:12:59.328
20,250,241.2,1910,1000,100,82,1154, 2022-01-08 10:13:02.038
21,250,241.1,1270,1000,100,83,1670, 2022-01-08 10:13:05.500
22,250,241.2,999,1000,100,82,1154, 2022-01-08 10:13:08.128
23,250,241.1,2000,1000,100,83,1670, 2022-01-08 10:13:11.628
24,250,241.2,2024,1000,100,82,1154, 2022-01-08 10:13:14.262
25,250,241.1,1994,1000,100,83,1670, 2022-01-08 10:13:20.910
26,250,241.2,1319,1000,100,82,1154, 2022-01-08 10:13:23.494
27,250,241.1,1612,1000,100,83,1670, 2022-01-08 10:13:26.986
28,250,241.2,1754,1000,100,82,1154, 2022-01-08 10:13:29.598
29,250,241.1,1644,1000,100,83,1670, 2022-01-08 10:13:33.116
30,250,241.2,1704,1000,100,82,1154, 2022-01-08 10:13:35.708
31,30,19.4,666,1000,100,38,650, 2022-01-08 10:13:40.146
32,30,19.4,655,1000,100,38,650, 2022-01-08 10:13:41.676
33,30,19.4,644,1000,100,38,650, 2022-01-08 10:13:44.756
34,30,19.4,655,1000,100,38,650, 2022-01-08 10:13:46.496
35,30,19.4,644,1000,100,38,650, 2022-01-08 10:13:49.988
36,30,19.4,622,1000,100,38,650, 2022-01-08 10:13:51.654
37,30,19.4,555,1000,100,38,650, 2022-01-08 10:13:53.390
38,30,19.4,444,1000,100,38,650, 2022-01-08 10:13:56.410
39,30,19.4,444,1000,100,38,650, 2022-01-08 10:13:57.874
1,250,241.1,0,1000,100,82,1154, 2022-01-08 10:29:49.718
2,250,241.2,0,1000,100,83,1670, 2022-01-08 10:29:53.014
3,250,241.1,0,1000,100,82,1153, 2022-01-08 10:29:55.862
4,250,241.2,0,1000,100,83,1670, 2022-01-08 10:29:59.110
5,250,241.1,0,1000,100,82,1154, 2022-01-08 10:30:01.850
6,250,241.2,0,1000,100,83,1670, 2022-01-08 10:30:05.204
7,250,241.1,0,1000,100,82,1153, 2022-01-08 10:30:11.204
8,250,241.2,0,1000,100,83,1670, 2022-01-08 10:30:14.448
9,250,241.1,0,1000,100,82,1154, 2022-01-08 10:30:17.206
10,250,241.2,0,1000,100,83,1670, 2022-01-08 10:30:20.388
11,250,241.1,0,1000,100,82,1154, 2022-01-08 10:30:23.118
12,250,241.2,0,1000,100,83,1670, 2022-01-08 10:30:26.428
13,30,19.4,0,1000,100,38,650, 2022-01-08 10:30:31.476
14,30,19.4,0,1000,100,35,650, 2022-01-08 10:30:33.206
15,30,19.4,0,1000,100,38,650, 2022-01-08 10:30:36.094
16,30,19.4,0,1000,100,38,650, 2022-01-08 10:30:39.418
17,30,19.4,0,1000,100,38,650, 2022-01-08 10:30:41.178
18,30,19.4,0,1000,100,38,650, 2022-01-08 10:30:42.904
19,250,241.1,0,1000,100,83,1670, 2022-01-08 10:31:03.906
20,250,241.2,0,1000,100,82,1154, 2022-01-08 10:31:06.570
21,250,241.1,0,1000,100,83,1670, 2022-01-08 10:31:10.040
22,250,241.2,0,1000,100,82,1154, 2022-01-08 10:31:12.680
23,250,241.1,0,1000,100,83,1670, 2022-01-08 10:31:16.124
24,250,241.2,0,1000,100,82,1154, 2022-01-08 10:31:18.864
25,250,241.1,0,1000,100,83,1670, 2022-01-08 10:31:25.466
26,250,241.2,0,1000,100,82,1154, 2022-01-08 10:31:28.088
27,250,241.1,0,1000,100,83,1670, 2022-01-08 10:31:31.528
28,250,241.2,0,1000,100,82,1154, 2022-01-08 10:31:34.134
29,250,241.1,0,1000,100,83,1670, 2022-01-08 10:31:37.694
30,250,241.2,0,1000,100,82,1154, 2022-01-08 10:31:40.268
31,30,19.4,0,1000,100,38,650, 2022-01-08 10:31:45.040
32,30,19.4,0,1000,100,38,650, 2022-01-08 10:31:46.582
33,30,19.4,0,1000,100,38,650, 2022-01-08 10:31:49.624
34,30,19.4,0,1000,100,38,650, 2022-01-08 10:31:51.428
35,30,19.4,0,1000,100,38,650, 2022-01-08 10:31:54.960
36,30,19.4,0,1000,100,38,650, 2022-01-08 10:31:56.684
37,30,19.4,0,1000,100,38,650, 2022-01-08 10:31:58.360
38,30,19.4,0,1000,100,38,650, 2022-01-08 10:32:01.364
39,30,19.4,0,1000,100,38,650, 2022-01-08 10:32:02.862
1,250,241.1,0,1000,100,82,1154, 2022-01-08 10:59:17.756
2,250,241.2,0,1000,100,83,1670, 2022-01-08 10:59:20.948
3,250,241.1,0,1000,100,82,1153, 2022-01-08 10:59:23.736
4,250,241.2,0,1000,100,83,1670, 2022-01-08 10:59:26.962
5,250,241.1,0,1000,100,82,1154, 2022-01-08 10:59:29.736
6,250,241.2,0,1000,100,83,1670, 2022-01-08 10:59:33.008
7,250,241.1,0,1000,100,82,1153, 2022-01-08 10:59:38.944
8,250,241.2,0,1000,100,83,1670, 2022-01-08 10:59:42.146
9,250,241.1,0,1000,100,82,1154, 2022-01-08 10:59:44.956
10,250,241.2,0,1000,100,83,1670, 2022-01-08 10:59:48.180
11,250,241.1,0,1000,100,82,1154, 2022-01-08 10:59:51.074
12,250,241.2,0,1000,100,83,1670, 2022-01-08 10:59:54.280
13,30,19.4,0,1000,100,38,650, 2022-01-08 10:59:59.072
14,30,19.4,0,1000,100,35,650, 2022-01-08 11:00:00.756
15,30,19.4,0,1000,100,38,650, 2022-01-08 11:00:03.696
16,30,19.4,0,1000,100,38,650, 2022-01-08 11:00:07.100
17,30,19.4,0,1000,100,38,650, 2022-01-08 11:00:08.866
18,30,19.4,0,1000,100,38,650, 2022-01-08 11:00:10.576
19,250,241.1,0,1000,100,83,1670, 2022-01-08 11:00:31.532
20,250,241.2,0,1000,100,82,1154, 2022-01-08 11:00:34.148
21,250,241.1,0,1000,100,83,1670, 2022-01-08 11:00:37.598
22,250,241.2,0,1000,100,82,1154, 2022-01-08 11:00:40.238
23,250,241.1,0,1000,100,83,1670, 2022-01-08 11:00:43.690
24,250,241.2,0,1000,100,82,1154, 2022-01-08 11:00:46.352
25,250,241.1,0,1000,100,83,1670, 2022-01-08 11:00:53.070
